# Common Attack Techniques and Methods
# Format: category,attack_name,description,impact,mitigations

# Reconnaissance Attacks
Reconnaissance,Passive Reconnaissance,Gathering information without direct interaction with the target using public sources like WHOIS DNS records social media and search engines,Information disclosure that can lead to more targeted attacks,Limit publicly available information. Use WHOIS privacy. Configure DNS to reveal minimal information. Monitor for reconnaissance activities.
Reconnaissance,Active Scanning,Directly interacting with target systems to discover hosts services and vulnerabilities using tools like Nmap Nessus or OpenVAS,Reveals network topology open ports running services and potential vulnerabilities,Implement proper firewall rules. Use IDS/IPS systems. Hide unnecessary service banners. Monitor for scanning activities.
Reconnaissance,Social Engineering Reconnaissance,Gathering information about an organization through its employees social media profiles job listings and organizational charts,Reveals internal structure key personnel and potential social engineering targets,Train employees on information security awareness. Limit information shared on social media and job listings. Implement social media policies.
Reconnaissance,Dumpster Diving,Physically searching through trash to find sensitive information,Can reveal sensitive documents passwords network diagrams and other valuable information,Implement proper document destruction policies. Use shredders for sensitive documents. Secure disposal areas.
Reconnaissance,OSINT (Open Source Intelligence),Collecting and analyzing publicly available information from various sources to build a profile of the target,Provides attackers with comprehensive information about the target organization,Regularly audit your organization's digital footprint. Remove unnecessary information from public sources. Monitor for information gathering activities.
Reconnaissance,Footprinting,Systematically collecting information about a target network including domain names network blocks and services,Creates a map of the target environment for further attacks,Implement network segmentation. Use minimal information in public-facing services. Monitor for systematic information gathering.
Reconnaissance,DNS Enumeration,Gathering information about DNS records to map network infrastructure,Reveals internal network structure domain names and potential entry points,Configure DNS to reveal minimal information. Use split-horizon DNS. Monitor for DNS query patterns.
Reconnaissance,Port Scanning,Scanning for open ports on target systems to identify running services,Identifies potential entry points and services that can be exploited,Implement proper firewall rules. Close unnecessary ports. Use port knocking or single packet authorization for sensitive services.
Reconnaissance,Service Enumeration,Identifying specific services versions and configurations running on open ports,Allows attackers to find known vulnerabilities in specific service versions,Keep services updated. Disable unnecessary service banners. Implement proper access controls.
Reconnaissance,Web Application Fingerprinting,Identifying web technologies frameworks and versions used by a target website,Enables attackers to find known vulnerabilities in specific web technologies,Remove version information from HTTP headers. Keep web technologies updated. Use Web Application Firewalls.

# Network Attacks
Network,Man-in-the-Middle (MitM),Intercepting and potentially altering communications between two parties without their knowledge,Can lead to information theft credential theft session hijacking and data manipulation,Use encrypted communications (TLS/SSL). Implement certificate pinning. Use VPNs for sensitive communications.
Network,ARP Spoofing,Sending falsified ARP messages to link an attacker's MAC address with the IP address of a legitimate system,Allows interception of network traffic leading to data theft and session hijacking,Implement static ARP entries for critical systems. Use VLANs to segment networks. Deploy ARP spoofing detection tools.
Network,DNS Spoofing/Poisoning,Corrupting DNS server data to redirect traffic to malicious sites,Redirects users to malicious websites leading to phishing malware installation and data theft,Implement DNSSEC. Use DNS over HTTPS or DNS over TLS. Monitor for unusual DNS activities.
Network,VLAN Hopping,Attacking the virtual LAN infrastructure to gain access to traffic from other VLANs,Allows access to restricted network segments bypassing network segmentation,Properly configure switch ports. Disable DTP (Dynamic Trunking Protocol). Implement proper VLAN security measures.
Network,MAC Flooding,Overwhelming a switch with fake MAC addresses to force it into hub-like behavior,Causes the switch to broadcast all traffic allowing the attacker to sniff all network communications,Implement port security on switches. Enable MAC address filtering. Monitor for unusual MAC address activities.
Network,DHCP Spoofing,Setting up a rogue DHCP server to provide false network configuration information,Can redirect traffic through attacker-controlled systems leading to traffic interception,Implement DHCP snooping on switches. Monitor for unauthorized DHCP servers. Use static IP addresses for critical systems.
Network,BGP Hijacking,Manipulating BGP routing tables to redirect internet traffic,Can redirect internet traffic through attacker-controlled systems for interception or denial of service,Implement BGP security measures like RPKI and route filtering. Monitor for suspicious routing changes.
Network,TCP/IP Hijacking,Taking over an established TCP session between two hosts,Allows attackers to inject commands or data into an existing trusted session,Use encrypted communications. Implement proper session management. Consider using VPNs for sensitive communications.
Network,Packet Sniffing,Capturing and analyzing network traffic to extract sensitive information,Can reveal passwords sensitive data and authentication tokens transmitted in cleartext,Encrypt all sensitive communications. Use VPNs for sensitive traffic. Implement network segmentation.
Network,IP Spoofing,Sending packets with a forged source IP address,Can be used to bypass IP-based access controls or hide the attacker's identity,Implement ingress and egress filtering. Use authentication mechanisms that don't rely solely on IP addresses.
Network,ICMP Tunneling,Encapsulating other protocols within ICMP packets to bypass firewall restrictions,Allows covert communication channels bypassing network security controls,Block or limit ICMP traffic. Inspect ICMP packet contents. Monitor for unusual ICMP patterns.
Network,DNS Tunneling,Encapsulating other protocols within DNS queries to bypass firewall restrictions,Allows covert communication channels and data exfiltration bypassing network security controls,Monitor for unusual DNS query patterns. Limit outbound DNS queries to trusted DNS servers. Inspect DNS query contents.
Network,SMB Relay Attacks,Capturing and relaying authentication credentials to access network resources,Can lead to unauthorized access to network resources and lateral movement,Disable SMB version 1. Enable SMB signing. Implement proper network segmentation and access controls.
Network,LLMNR/NBT-NS Poisoning,Responding to broadcast name resolution requests to capture authentication hashes,Can lead to credential theft and unauthorized access,Disable LLMNR and NBT-NS if not needed. Implement proper network segmentation. Use strong authentication mechanisms.
Network,Evil Twin,Creating a rogue wireless access point that mimics a legitimate one,Can lead to connection to attacker-controlled networks and traffic interception,Implement 802.1X authentication for wireless networks. Use VPNs for sensitive communications. Educate users about wireless security.

# Web Application Attacks
Web,SQL Injection,Inserting malicious SQL code into application inputs that are passed to a database,Can lead to unauthorized data access data manipulation and in some cases complete system compromise,Use parameterized queries or prepared statements. Implement input validation. Apply principle of least privilege for database accounts.
Web,Cross-Site Scripting (XSS),Injecting malicious scripts that execute in users' browsers,Can lead to session hijacking credential theft and malware distribution,Implement proper output encoding. Validate and sanitize all user inputs. Use Content Security Policy (CSP).
Web,Cross-Site Request Forgery (CSRF),Tricking users into performing unwanted actions on a web application where they're authenticated,Can lead to unauthorized actions performed on behalf of authenticated users,Implement anti-CSRF tokens. Use SameSite cookie attribute. Verify the Origin/Referer header for sensitive actions.
Web,Server-Side Request Forgery (SSRF),Inducing a server to make requests to unintended locations,Can lead to access to internal services port scanning and in some cases remote code execution,Validate and sanitize all user-supplied URLs. Implement allowlists for permitted destinations. Use network segmentation.
Web,XML External Entity (XXE),Exploiting XML processors by including hostile content in XML documents,Can lead to internal file disclosure server-side request forgery and denial of service,Disable DTD processing. Disable external entity resolution. Use less complex data formats like JSON when possible.
