# Common Commands for Qanas Tool
# Format: command,description,example

# Basic Scanning Commands
nmap -sV -sC [target],Basic service and script scan,nmap -sV -sC 192.168.1.1
nmap -p- [target],Full port scan,nmap -p- 192.168.1.1
nmap -sU [target],UDP scan,nmap -sU 192.168.1.1
nmap -sS [target],SYN scan,nmap -sS 192.168.1.1
nmap -A [target],Aggressive scan (OS detection scripts traceroute),nmap -A 192.168.1.1
nmap -T4 -F [target],Fast scan,nmap -T4 -F 192.168.1.1
nmap --script vuln [target],Vulnerability scan,nmap --script vuln 192.168.1.1
masscan -p1-65535 [target] --rate=1000,Fast port scanner,masscan -p1-65535 192.168.1.1 --rate=1000

# Web Application Scanning
nikto -h [target],Web server scanner,nikto -h http://192.168.1.1
whatweb [target],Web scanner and identifier,whatweb http://192.168.1.1
dirb [target],Directory brute forcing,dirb http://192.168.1.1
gobuster dir -u [target] -w [wordlist],Directory brute forcing,gobuster dir -u http://192.168.1.1 -w /usr/share/wordlists/dirb/common.txt
wpscan --url [target],WordPress scanner,wpscan --url http://192.168.1.1
sqlmap -u [target] --dbs,SQL injection scanner,sqlmap -u http://192.168.1.1/page.php?id=1 --dbs
wafw00f [target],Web application firewall detector,wafw00f http://192.168.1.1
nuclei -u [target],Fast vulnerability scanner,nuclei -u http://192.168.1.1

# DNS Enumeration
dig [domain] any,DNS lookup,dig example.com any
host -t ns [domain],Name server lookup,host -t ns example.com
host -t mx [domain],Mail server lookup,host -t mx example.com
dnsenum [domain],DNS enumeration,dnsenum example.com
sublist3r -d [domain],Subdomain enumeration,sublist3r -d example.com
amass enum -d [domain],Subdomain enumeration,amass enum -d example.com

# Network Reconnaissance
ping [target],Check if host is alive,ping 192.168.1.1
traceroute [target],Trace route to host,traceroute 192.168.1.1
whois [domain],Domain information lookup,whois example.com
theHarvester -d [domain] -b all,Email and subdomain harvesting,theHarvester -d example.com -b all
arp-scan --localnet,Scan local network,arp-scan --localnet

# Vulnerability Assessment
openvas-start,Start OpenVAS vulnerability scanner,openvas-start
sslscan [target],SSL/TLS scanner,sslscan 192.168.1.1:443
sshaudit [target],SSH security auditing,sshaudit 192.168.1.1
nessus,Start Nessus vulnerability scanner,nessus

# Password Attacks
hydra -l [user] -P [wordlist] [target] [service],Brute force login,hydra -l admin -P passwords.txt 192.168.1.1 http-post-form
medusa -h [target] -u [user] -P [wordlist] -M [service],Brute force login,medusa -h 192.168.1.1 -u admin -P passwords.txt -M http
john [hashfile],Password cracker,john hashes.txt
hashcat -m 0 [hashfile] [wordlist],Password cracker,hashcat -m 0 hashes.txt wordlist.txt

# Wireless Attacks
airmon-ng start [interface],Start wireless monitoring,airmon-ng start wlan0
airodump-ng [interface],Capture wireless packets,airodump-ng wlan0mon
aireplay-ng -0 0 -a [BSSID] [interface],Deauthentication attack,aireplay-ng -0 0 -a 00:11:22:33:44:55 wlan0mon
wifite,Automated wireless auditor,wifite

# Social Engineering
setoolkit,Social Engineering Toolkit,setoolkit
beef-xss,Browser Exploitation Framework,beef-xss

# Exploitation
msfconsole,Metasploit Framework,msfconsole
searchsploit [term],Search for exploits,searchsploit apache 2.4.49
exploitdb,Exploit Database,exploitdb

# Post Exploitation
privilegeescalation,Check for privilege escalation vectors,privilegeescalation
linpeas.sh,Linux privilege escalation script,./linpeas.sh
winpeas.exe,Windows privilege escalation script,winpeas.exe
linEnum.sh,Linux enumeration script,./linEnum.sh

# Reporting
maltego,Data mining tool,maltego
dradis,Reporting and collaboration tool,dradis
faraday,Collaborative penetration test IDE,faraday

# Anonymity
proxychains [command],Run command through proxy,proxychains nmap 192.168.1.1
tor,Start Tor service,tor
torsocks [command],Run command through Tor,torsocks wget http://example.com

# Forensics
dd if=[source] of=[destination],Create disk image,dd if=/dev/sda of=/media/disk.img
volatility -f [memory_dump] imageinfo,Memory forensics,volatility -f memory.dmp imageinfo
autopsy,Digital forensics platform,autopsy
foremost -i [file],File carving tool,foremost -i disk.img

# Reverse Engineering
gdb [binary],GNU Debugger,gdb ./binary
radare2 [binary],Disassembler and debugger,radare2 ./binary
ghidra,Software reverse engineering suite,ghidra
ida,Interactive disassembler,ida

# Mobile Security
adb devices,List connected Android devices,adb devices
adb shell,Get shell on Android device,adb shell
frida-ps -U,List running processes on USB device,frida-ps -U
objection --gadget [app] explore,Runtime mobile exploration toolkit,objection --gadget com.example.app explore

# IoT Security
rtl_433,Generic data receiver,rtl_433
blueborne,Bluetooth vulnerability scanner,blueborne
z3a,Zigbee security tool,z3a

# Container Security
docker ps,List running containers,docker ps
docker inspect [container],Inspect container,docker inspect container_id
grype [image],Container vulnerability scanner,grype alpine:latest
trivy [image],Container vulnerability scanner,trivy alpine:latest

# Cloud Security
awscli,AWS command line interface,aws s3 ls
azure,Azure command line interface,azure vm list
gcloud,Google Cloud command line interface,gcloud compute instances list
scoutsuite,Multi-cloud security auditing tool,scoutsuite aws

# OSINT (Open Source Intelligence)
shodan search [query],Search Shodan,shodan search apache
censys search [query],Search Censys,censys search "80.http.get.headers.server: nginx"
theHarvester -d [domain] -b all,Email and subdomain harvesting,theHarvester -d example.com -b all
maltego,Data mining tool,maltego
recon-ng,Web reconnaissance framework,recon-ng

# Miscellaneous
netcat -lvp [port],Listen on port,netcat -lvp 4444
netcat [host] [port],Connect to host:port,netcat 192.168.1.1 80
curl [url],HTTP request,curl http://192.168.1.1
wget [url],Download file,wget http://192.168.1.1/file.txt
wireshark,Network protocol analyzer,wireshark
tcpdump -i [interface],Packet capture,tcpdump -i eth0
