# Common TCP/UDP Ports and Services
# Format: port/protocol,service,description

# Well-Known Ports (0-1023)
21/tcp,ftp,File Transfer Protocol
22/tcp,ssh,Secure Shell
23/tcp,telnet,Telnet
25/tcp,smtp,Simple Mail Transfer Protocol
53/tcp,dns,Domain Name System
53/udp,dns,Domain Name System
80/tcp,http,Hypertext Transfer Protocol
110/tcp,pop3,Post Office Protocol v3
111/tcp,rpcbind,Remote Procedure Call
111/udp,rpcbind,Remote Procedure Call
123/udp,ntp,Network Time Protocol
135/tcp,msrpc,Microsoft RPC
137/udp,netbios-ns,NetBIOS Name Service
138/udp,netbios-dgm,NetBIOS Datagram Service
139/tcp,netbios-ssn,NetBIOS Session Service
143/tcp,imap,Internet Message Access Protocol
161/udp,snmp,Simple Network Management Protocol
162/udp,snmptrap,SNMP Trap
389/tcp,ldap,Lightweight Directory Access Protocol
443/tcp,https,HTTP Secure
445/tcp,smb,Server Message Block
465/tcp,smtps,SMTP over SSL
500/udp,isakmp,Internet Security Association and Key Management Protocol
514/udp,syslog,System Logging Protocol
587/tcp,submission,Email Message Submission
631/tcp,ipp,Internet Printing Protocol
636/tcp,ldaps,LDAP over SSL
993/tcp,imaps,IMAP over SSL
995/tcp,pop3s,POP3 over SSL
1025/tcp,NFS-or-IIS,NFS or IIS
1026/tcp,LSA-or-IIS,LSA or IIS
1027/tcp,IIS,IIS
1028/tcp,IIS,IIS
1029/tcp,ms-lsa,MS LSASS

# Registered Ports (1024-49151)
1080/tcp,socks,SOCKS Proxy
1433/tcp,ms-sql-s,Microsoft SQL Server
1434/udp,ms-sql-m,Microsoft SQL Monitor
1521/tcp,oracle,Oracle Database
1720/tcp,h323,H.323
1723/tcp,pptp,Point-to-Point Tunneling Protocol
1883/tcp,mqtt,Message Queuing Telemetry Transport
2049/tcp,nfs,Network File System
2082/tcp,cpanel,cPanel
2083/tcp,cpanel-ssl,cPanel SSL
2086/tcp,whm,WebHost Manager
2087/tcp,whm-ssl,WebHost Manager SSL
2096/tcp,webmail,Webmail
2097/tcp,webmail-ssl,Webmail SSL
2222/tcp,ssh,SSH Alternative
3000/tcp,node,Node.js Server
3001/tcp,node,Node.js Server
3128/tcp,squid,Squid Proxy
3306/tcp,mysql,MySQL Database
3389/tcp,rdp,Remote Desktop Protocol
4443/tcp,https-alt,HTTPS Alternative
5000/tcp,upnp,Universal Plug and Play
5432/tcp,postgresql,PostgreSQL Database
5900/tcp,vnc,Virtual Network Computing
5901/tcp,vnc-1,VNC Display 1
5985/tcp,wsman,WS-Management
5986/tcp,wsmans,WS-Management Secure
6379/tcp,redis,Redis
6443/tcp,kubernetes,Kubernetes API Server
6660-6669/tcp,irc,Internet Relay Chat
8000/tcp,http-alt,HTTP Alternative
8008/tcp,http-alt,HTTP Alternative
8009/tcp,ajp,Apache JServ Protocol
8080/tcp,http-proxy,HTTP Proxy
8081/tcp,http-alt,HTTP Alternative
8443/tcp,https-alt,HTTPS Alternative
8888/tcp,http-alt,HTTP Alternative
9000/tcp,cslistener,CSlistener
9090/tcp,websm,WebSM
9200/tcp,elasticsearch,Elasticsearch
9300/tcp,elasticsearch,Elasticsearch Transport
9999/tcp,http-alt,HTTP Alternative
10000/tcp,webmin,Webmin
27017/tcp,mongodb,MongoDB
27018/tcp,mongodb,MongoDB Shard
27019/tcp,mongodb,MongoDB Config Server

# Common Malware and Backdoor Ports
31337/tcp,elite,Elite (Backdoor)
4444/tcp,metasploit,Metasploit Default Handler
5555/tcp,android-debug,Android Debug Bridge
6666/tcp,irc-alt,IRC Alternative
6667/tcp,irc,Internet Relay Chat
6697/tcp,irc-ssl,IRC over SSL
12345/tcp,netbus,NetBus Backdoor
54321/tcp,backdoor,Backdoor

# Common Web Application Ports
3000/tcp,react,React Development Server
4200/tcp,angular,Angular Development Server
8000/tcp,django,Django Development Server
8080/tcp,tomcat,Apache Tomcat
8888/tcp,jupyter,Jupyter Notebook

# Database Ports
1433/tcp,mssql,Microsoft SQL Server
1521/tcp,oracle,Oracle Database
3306/tcp,mysql,MySQL Database
5432/tcp,postgresql,PostgreSQL Database
6379/tcp,redis,Redis Database
27017/tcp,mongodb,MongoDB Database

# Mail Ports
25/tcp,smtp,Simple Mail Transfer Protocol
110/tcp,pop3,Post Office Protocol v3
143/tcp,imap,Internet Message Access Protocol
465/tcp,smtps,SMTP over SSL
587/tcp,submission,Email Message Submission
993/tcp,imaps,IMAP over SSL
995/tcp,pop3s,POP3 over SSL

# VPN and Tunneling Ports
500/udp,isakmp,Internet Security Association and Key Management Protocol
1194/udp,openvpn,OpenVPN
1701/udp,l2tp,Layer 2 Tunneling Protocol
1723/tcp,pptp,Point-to-Point Tunneling Protocol
4500/udp,ipsec-nat-t,IPsec NAT Traversal

# Remote Access Ports
22/tcp,ssh,Secure Shell
23/tcp,telnet,Telnet
3389/tcp,rdp,Remote Desktop Protocol
5900/tcp,vnc,Virtual Network Computing

# File Sharing Ports
21/tcp,ftp,File Transfer Protocol
22/tcp,sftp,SSH File Transfer Protocol
139/tcp,netbios-ssn,NetBIOS Session Service
445/tcp,smb,Server Message Block
2049/tcp,nfs,Network File System
