# Security Tools and Utilities
# Format: category,tool_name,description,common_usage,url

# Reconnaissance Tools
Reconnaissance,Nmap,Network scanning and host discovery tool,Port scanning service detection OS fingerprinting and vulnerability scanning,https://nmap.org
Reconnaissance,Shodan,Search engine for Internet-connected devices,Discovering exposed devices identifying vulnerabilities and gathering intelligence,https://www.shodan.io
Reconnaissance,theHarvester,Tool for gathering email accounts subdomains hostnames and open ports from public sources,Email harvesting subdomain enumeration and information gathering,https://github.com/laramies/theHarvester
Reconnaissance,Recon-ng,Web reconnaissance framework with modules for information gathering,Automated reconnaissance and information gathering,https://github.com/lanmaster53/recon-ng
Reconnaissance,Maltego,Interactive data mining tool that renders directed graphs for link analysis,Visual link analysis information gathering and reconnaissance,https://www.maltego.com
Reconnaissance,OSINT Framework,Collection of OSINT tools categorized by function,Comprehensive open source intelligence gathering,https://osintframework.com
Reconnaissance,SpiderFoot,Automated OSINT collection and reconnaissance tool,Footprinting and gathering intelligence about targets,https://www.spiderfoot.net
Reconnaissance,Amass,Network mapping of attack surfaces and external asset discovery,Subdomain enumeration DNS analysis and asset discovery,https://github.com/OWASP/Amass
Reconnaissance,Sublist3r,Fast subdomain enumeration tool,Subdomain discovery using various search engines and sources,https://github.com/aboul3la/Sublist3r
Reconnaissance,FOCA,Tool to find metadata and hidden information in documents,Document metadata analysis and information leakage detection,https://github.com/ElevenPaths/FOCA
Reconnaissance,Metagoofil,Metadata extraction tool,Extracting metadata from public documents,https://github.com/laramies/metagoofil
Reconnaissance,Censys,Search engine for Internet-connected devices,Discovering exposed devices identifying vulnerabilities and gathering intelligence,https://censys.io
Reconnaissance,Fierce,DNS reconnaissance tool,DNS enumeration and subdomain discovery,https://github.com/mschwager/fierce
Reconnaissance,WHOIS,Protocol and tool for querying databases of domain registrations,Domain ownership information gathering and contact discovery,Various implementations
Reconnaissance,DNSRecon,DNS enumeration script,DNS record enumeration zone transfers and subdomain discovery,https://github.com/darkoperator/dnsrecon
Reconnaissance,Gobuster,Directory/file DNS and VHost busting tool,Web content discovery subdomain enumeration and virtual host discovery,https://github.com/OJ/gobuster
Reconnaissance,Photon,Fast web crawler designed for OSINT,Web content discovery and information gathering,https://github.com/s0md3v/Photon
Reconnaissance,OWASP Amass,Network mapping of attack surfaces and external asset discovery,Subdomain enumeration DNS analysis and asset discovery,https://github.com/OWASP/Amass
Reconnaissance,Spyse,Internet assets search engine,Discovering internet assets and gathering intelligence,https://spyse.com
Reconnaissance,SecurityTrails,Historical DNS data and domain intelligence platform,DNS history analysis subdomain discovery and security intelligence,https://securitytrails.com

