# Common Vulnerabilities and Security Issues
# Format: category,vulnerability,description,severity,cwe,remediation

# Web Application Vulnerabilities
Injection,SQL Injection,Attacker can insert malicious SQL code that can read sensitive data modify database data or delete data,High,CWE-89,Use parameterized queries prepared statements or stored procedures. Validate and sanitize all user inputs. Implement least privilege database accounts.
Injection,Command Injection,Attacker can execute arbitrary system commands on the host operating system,Critical,CWE-77,Avoid using system commands with user-supplied input. If necessary implement strict input validation and use allowlists for permitted values.
Injection,LDAP Injection,Attacker can manipulate LDAP queries to bypass authentication or access unauthorized data,High,CWE-90,Use LDAP-specific encoding functions. Implement proper input validation and sanitization. Use parameterized LDAP queries if available.
Injection,XPath Injection,Attacker can modify XPath queries to bypass authentication or access unauthorized data in XML documents,High,CWE-91,Use parameterized XPath queries. Implement proper input validation and sanitization. Consider using precompiled XPath queries.
Injection,NoSQL Injection,Attacker can manipulate NoSQL database queries to bypass authentication or access unauthorized data,High,CWE-943,Use parameterized queries. Validate and sanitize all user inputs. Implement proper data type validation.
Injection,XML Injection,Attacker can inject malicious XML content to manipulate application logic or access sensitive data,High,CWE-91,Validate and sanitize XML input. Use XML schema validation. Disable XML external entity processing.
Injection,SMTP Injection,Attacker can inject SMTP commands to manipulate email functionality,Medium,CWE-93,Validate and sanitize all user inputs used in email headers and content. Use email libraries that handle proper escaping.
Injection,CRLF Injection,Attacker can inject carriage return and line feed characters to manipulate HTTP responses or log files,Medium,CWE-93,Validate and sanitize all user inputs. Encode CRLF sequences before including user input in HTTP headers or log files.
Injection,Template Injection,Attacker can inject template directives that can result in remote code execution,High,CWE-94,Sanitize user input before passing to template engines. Use a sandboxed template environment. Consider using logic-less templates.
Injection,HTML Injection,Attacker can inject HTML code to modify page content,Medium,CWE-79,Encode HTML special characters. Implement Content Security Policy (CSP). Use template systems that automatically escape output.
Injection,CSS Injection,Attacker can inject malicious CSS to steal data or modify page appearance,Medium,CWE-79,Validate and sanitize CSS input. Implement Content Security Policy (CSP). Use allowlists for CSS properties.
Injection,OGNL Injection,Attacker can inject Object-Graph Navigation Language expressions to execute code (common in Java applications),High,CWE-917,Validate and sanitize all user inputs. Implement strict allowlists for OGNL expressions. Keep frameworks updated.
Injection,Expression Language Injection,Attacker can inject expression language code to execute arbitrary code or access sensitive data,High,CWE-917,Validate and sanitize all user inputs. Disable expression language evaluation for user-controlled data. Implement proper access controls.
Injection,Format String Injection,Attacker can manipulate format strings to crash applications or execute code,High,CWE-134,Avoid using user-supplied input in format strings. Use format string functions that don't interpret format specifiers.
Injection,Log Injection,Attacker can inject malicious content into log files potentially leading to log forging,Medium,CWE-117,Encode or escape user-controlled data before logging. Implement proper log viewing tools that handle special characters.
Injection,Host Header Injection,Attacker can manipulate the Host header to poison caches reset passwords or bypass authentication,Medium,CWE-640,Validate the Host header against a allowlist of expected values. Don't trust the Host header for security-critical functions.
Injection,HTTP Parameter Pollution,Attacker can inject additional parameters to manipulate application behavior,Medium,CWE-20,Implement proper server-side parameter parsing. Validate parameter names and values. Use frameworks that handle parameter parsing securely.
Injection,HTTP Header Injection,Attacker can inject malicious HTTP headers to manipulate responses or trigger other vulnerabilities,Medium,CWE-113,Validate and sanitize all user inputs used in HTTP headers. Use framework functions for setting headers that handle escaping.
Injection,IMAP/SMTP Injection,Attacker can inject commands into mail protocols to manipulate email functionality,Medium,CWE-93,Validate and sanitize all user inputs used in mail commands. Use mail libraries that handle proper escaping.
Injection,XXE (XML External Entity),Attacker can include external entities to disclose local files perform SSRF or cause DoS,High,CWE-611,Disable DTD processing. Disable external entity resolution. Use less complex data formats like JSON when possible.

Broken Authentication,Weak Passwords,System allows passwords that are easily guessable or brute-forceable,High,CWE-521,Implement strong password policies. Enforce minimum length complexity and rotation. Consider password strength meters.
Broken Authentication,Brute Force Vulnerability,System does not limit authentication attempts allowing attackers to guess credentials,High,CWE-307,Implement account lockout after failed attempts. Use CAPTCHA or increasing delays. Alert on multiple failed login attempts.
Broken Authentication,Credential Stuffing,Attackers use leaked username/password pairs from other breaches,High,CWE-798,Implement multi-factor authentication. Check passwords against known breached password lists. Monitor for unusual login patterns.
Broken Authentication,Session Fixation,Attacker can hijack user sessions by fixing session identifiers,High,CWE-384,Generate new session IDs after authentication. Invalidate existing session IDs during login. Implement proper session management.
Broken Authentication,Insufficient Session Expiration,Sessions remain valid for excessive periods of time,Medium,CWE-613,Implement proper session timeout. Provide logout functionality. Invalidate sessions on the server after logout.
Broken Authentication,Missing Multi-factor Authentication,System relies solely on single-factor authentication,Medium,CWE-308,Implement multi-factor authentication especially for sensitive functions or privileged accounts. Provide recovery options.
Broken Authentication,Insecure Password Storage,Passwords are stored in plaintext or with weak hashing algorithms,Critical,CWE-256,Use strong adaptive hashing algorithms (bcrypt Argon2 PBKDF2). Add unique salts to each password. Never store plaintext passwords.
Broken Authentication,Insecure Password Recovery,Password recovery mechanisms can be exploited to gain unauthorized access,High,CWE-640,Implement secure password recovery with time-limited tokens. Use out-of-band verification. Log and alert on password resets.
Broken Authentication,Remember Me Functionality Insecurity,"Remember Me" feature implemented insecurely allowing session hijacking,Medium,CWE-539,Use secure persistent cookies with proper expiration. Consider requiring re-authentication for sensitive actions.
Broken Authentication,Default Credentials,System uses default vendor credentials that are publicly known,Critical,CWE-798,Change all default credentials during installation. Implement forced password change on first login. Regularly audit for default credentials.
Broken Authentication,Plain Text Credentials Transmission,Credentials are transmitted in plain text without encryption,Critical,CWE-319,Use HTTPS for all authentication. Never transmit credentials in URLs. Implement proper transport layer security.
